animal_name,true_species,assigned_cluster
aardvark,Mammal,3
antelope,Mammal,1
bass,Fish,2
bear,Mammal,3
boar,Mammal,3
buffalo,Mammal,1
calf,Mammal,1
carp,Fish,2
catfish,Fish,2
cavy,Mammal,1
cheetah,Mammal,3
chicken,Bird,0
chub,Fish,2
clam,Invertebrate,5
crab,Invertebrate,5
crayfish,Invertebrate,5
crow,Bird,0
deer,Mammal,1
dogfish,Fish,6
dolphin,Mammal,2
dove,Bird,0
duck,Bird,0
elephant,Mammal,1
flamingo,Bird,0
flea,Insect,5
frog,Amphibian,5
frog,Amphibian,5
fruitbat,Mammal,1
giraffe,Mammal,1
girl,Mammal,1
gnat,Insect,4
goat,Mammal,1
gorilla,Mammal,1
gull,Bird,0
haddock,Fish,2
hamster,Mammal,1
hare,Mammal,1
hawk,Bird,0
herring,Fish,2
honeybee,Insect,4
housefly,Insect,4
kiwi,Bird,0
ladybird,Insect,4
lark,Bird,0
leopard,Mammal,3
lion,Mammal,3
lobster,Invertebrate,5
lynx,Mammal,3
mink,Mammal,3
mole,Mammal,3
mongoose,Mammal,3
moth,Insect,4
newt,Amphibian,5
octopus,Invertebrate,5
opossum,Mammal,3
oryx,Mammal,1
ostrich,Bird,0
parakeet,Bird,0
penguin,Bird,0
pheasant,Bird,0
pike,Fish,6
piranha,Fish,2
pitviper,Reptile,0
platypus,Mammal,3
polecat,Mammal,3
pony,Mammal,1
porpoise,Mammal,2
puma,Mammal,3
pussycat,Mammal,1
raccoon,Mammal,3
reindeer,Mammal,1
rhea,Bird,0
scorpion,Invertebrate,5
seahorse,Fish,2
seal,Mammal,3
sealion,Mammal,3
seasnake,Reptile,2
seawasp,Invertebrate,5
skimmer,Bird,0
skua,Bird,0
slowworm,Reptile,0
slug,Invertebrate,5
sole,Fish,2
sparrow,Bird,0
squirrel,Mammal,1
starfish,Invertebrate,5
stingray,Fish,6
swan,Bird,0
termite,Insect,5
toad,Amphibian,5
tortoise,Reptile,0
tuatara,Reptile,0
tuna,Fish,6
vampire,Mammal,1
vole,Mammal,1
vulture,Bird,0
wallaby,Mammal,1
wasp,Insect,4
wolf,Mammal,3
worm,Invertebrate,5
wren,Bird,0
